,name,gender,birthdate,deathdate,birthplace,deathplace,residence,education,occupation,employer
50,David Driskell,male,1931-06-07T00:00:00Z,2020-04-01T00:00:00Z,Eatonton,"Washington, D.C.",Hyattsville,"The Catholic University of America, Howard University","artist, curator, art historian, art collector",University of Maryland
51,David Spada,male,1961-12-05T00:00:00Z,1996-05-13T00:00:00Z,New Britain,,New York City,Parsons School of Design,jewelry designer,
52,David Tim,male,1989-01-01T00:00:00Z,,Montreal,,Oakland,"San Francisco Art Institute, Iowa State University",artist,
53,Dawoud Bey,male,1953-01-01T00:00:00Z,,New York City,,Chicago,"Benjamin N. Cardozo High School, Empire State College, Yale School of Art",photographer,Columbia College Chicago
54,Delia Bennett,female,1892-01-01T00:00:00Z,1976-01-01T00:00:00Z,,,Boykin,,"artist, quilter",
55,Deryl Daniel Mackie,male,1949-07-01T00:00:00Z,2007-01-01T00:00:00Z,Harlem,Philadelphia,,,artist,
56,Donald Camp,male,1940-07-28T00:00:00Z,,Meadville,,Philadelphia,Tyler School of Art,"photographer, photojournalist, university teacher, visual artist","Temple University, Ursinus College"
57,Dox Thrash,male,1893-03-22T00:00:00Z,1965-04-19T00:00:00Z,Griffin,Philadelphia,,School of the Art Institute of Chicago,"artist, painter, sculptor, printmaker",
58,Edward Ellis Hughes,male,1940-01-01T00:00:00Z,2017-01-01T00:00:00Z,Philadelphia,,,,artist,
59,"Edward L. Loper, Sr.",male,1916-04-07T00:00:00Z,2011-10-11T00:00:00Z,Wilmington,Wilmington,,,painter,Lincoln University
60,Eldzier Cortor,male,1916-01-10T00:00:00Z,2015-11-26T00:00:00Z,Tidewater region of Virginia,Long Island,Chicago,School of the Art Institute of Chicago,"graphic designer, painter, printmaker",
61,Elizabeth Catlett,female,1915-04-15T00:00:00Z,2012-04-02T00:00:00Z,"Washington, D.C.",Cuernavaca,"New York City, Cuernavaca","University of Iowa, Escuela Nacional de Pintura, Escultura y Grabado ""La Esmeralda"", Howard University, Dunbar High School","teacher, engraver, illustrator, painter, sculptor, printmaker",
62,Ellen Gallagher,female,1965-12-16T00:00:00Z,,Providence,,,,"painter, graphic artist, printmaker, draftsperson, drawer, collagist",
63,Ellen Powell Tiberino,female,1937-01-01T00:00:00Z,1992-02-28T00:00:00Z,,Philadelphia,Philadelphia,Pennsylvania Academy of the Fine Arts,artist,
64,Emma Amos,female,1938-03-16T00:00:00Z,2020-05-20T00:00:00Z,Atlanta,Bedford,"New York City, Atlanta","New York University, Central Saint Martins, Antioch College, Mason Gross School of the Arts","painter, visual artist, designer, printmaker",
65,Evangeline Montgomery,female,1933-05-02T00:00:00Z,,New York City,,"Washington, D.C., Los Angeles","California College of the Arts, Los Angeles City College","artist, curator",
66,Faith Ringgold,female,1930-10-08T00:00:00Z,,Harlem,,,City College of New York,"sculptor, visual artist, textile artist, performance artist, quilt maker, illustrator, painter",
67,Fazal Sheikh,male,1965-01-01T00:00:00Z,,New York City,,,Princeton University,photographer,
68,Floyd Newsum,male,1950-01-01T00:00:00Z,,,,"Houston, Memphis","Memphis College of Art, Tyler School of Art","university teacher, visual artist",University of Houston–Downtown
69,Frank Jones,male,1900-01-01T00:00:00Z,1969-01-01T00:00:00Z,Red River County,Huntsville,,,artist,
70,Freddie Brice,male,1920-01-01T00:00:00Z,1998-01-01T00:00:00Z,Charleston,New York City,,,artist,
71,Gerald Cyrus,male,1957-01-01T00:00:00Z,,Los Angeles,,"New York City, Philadelphia",School of Visual Arts,"photographer, visual artist",
72,Gertrude Morgan,female,1900-01-01T00:00:00Z,1980-07-08T00:00:00Z,LaFayette,New Orleans,"New Orleans, LaFayette, Columbus",,"poet, missionary, preacher, artist, musician, painter",
73,Gertrude Morgan,female,1900-04-07T00:00:00Z,1980-07-08T00:00:00Z,LaFayette,New Orleans,"New Orleans, LaFayette, Columbus",,"poet, missionary, preacher, artist, musician, painter",
74,Glenn Ligon,male,1960-01-01T00:00:00Z,,The Bronx,,,Wesleyan University,"conceptual artist, drawer, installation artist, video artist, photographer, painter, filmmaker, visual artist, printmaker",
75,Gordon Henderson,male,1957-03-19T00:00:00Z,,,,"California, Greenwich Village","University of California, Davis, Parsons School of Design",fashion designer,Calvin Klein
76,Gordon Parks,male,1912-11-30T00:00:00Z,2006-03-07T00:00:00Z,Fort Scott,New York City,,,"screenwriter, photographer, actor, writer, composer, poet, artist, photojournalist, journalist, film director, film producer, novelist, film actor, fashion photographer",Farm Security Administration
77,Gwendolyn Brooks,female,1917-06-07T00:00:00Z,2000-12-03T00:00:00Z,Topeka,Chicago,"Michigan Boulevard Garden Apartments, Illinois, Topeka, South Side","Englewood Technical Prep Academy, Hyde Park Academy High School, Kennedy–King College, Wendell Phillips Academy High School","writer, teacher, poet, novelist","Chicago State University, NAACP"
78,Hale Woodruff,male,1900-08-26T00:00:00Z,1980-09-06T00:00:00Z,Cairo,New York City,"New York City, Paris, Chicago, Indianapolis, Nashville","Art Institute of Chicago, Herron School of Art and Design","painter, visual artist, printmaker","Steinhardt School of Culture, Education, and Human Development"
79,Hannah Price,female,1986-01-01T00:00:00Z,,Annapolis,,Philadelphia,"Yale University, Rochester Institute of Technology","photographer, filmmaker","Yale University Art Gallery, Community College of Philadelphia"
80,Hayward Ellis King,male,1928-01-01T00:00:00Z,1990-08-01T00:00:00Z,Little Rock,,,,"artist, university teacher, museum registrar","San Francisco Art Institute, San Francisco Museum of Modern Art, San Francisco State University"
81,Henrietta Pettway,female,1894-01-01T00:00:00Z,1971-01-01T00:00:00Z,,,Boykin,,"artist, quilter",
82,Henry Ossawa Tanner,male,1859-06-21T00:00:00Z,1937-05-24T00:00:00Z,Pittsburgh,6th arrondissement of Paris,Henry O. Tanner House,"Académie Julian, Pennsylvania Academy of the Fine Arts","university teacher, printmaker, photographer, painter",Clark University
83,Henry Ossawa Tanner,male,1859-06-21T00:00:00Z,1937-05-25T00:00:00Z,Pittsburgh,6th arrondissement of Paris,Henry O. Tanner House,"Académie Julian, Pennsylvania Academy of the Fine Arts","photographer, painter, university teacher, printmaker",Clark University
84,"Henry Thomas Mitchell, Jr.",male,1929-07-30T00:00:00Z,2017-01-01T00:00:00Z,Philadelphia,Mercy Fitzgerald Hospital,Darby,Temple University,"teacher, artist",
85,Herbert Gentry,male,1919-07-17T00:00:00Z,2003-09-08T00:00:00Z,Pittsburgh,Stockholm,,Académie de la Grande Chaumière,"artist, painter",
86,Horace Pippin,male,1888-01-01T00:00:00Z,1946-01-01T00:00:00Z,West Chester,West Chester,Pennsylvania,,"painter, sculptor, soldier",National Guard of the United States
87,Horace Pippin,male,1888-01-01T00:00:00Z,1946-07-05T00:00:00Z,West Chester,West Chester,Pennsylvania,,"painter, sculptor, soldier",National Guard of the United States
88,Horace Pippin,male,1888-01-01T00:00:00Z,1946-07-06T00:00:00Z,West Chester,West Chester,Pennsylvania,,"painter, sculptor, soldier",National Guard of the United States
89,Howardena Pindell,female,1943-04-04T00:00:00Z,,Philadelphia,,"Japan, Sweden, New York City, India","Boston University, Yale University, Boston University College of Fine Arts, Philadelphia High School for Girls, Yale School of Art","illustrator, painter, visual artist","Yale University, Museum of Modern Art, Stony Brook University"
90,Hughie Lee-Smith,male,1915-01-01T00:00:00Z,1999-01-01T00:00:00Z,Eustis,"Albuquerque, New Mexico",,Wayne State University,painter,
91,Hughie Lee-Smith,male,1915-01-01T00:00:00Z,1999-02-23T00:00:00Z,Eustis,"Albuquerque, New Mexico",,Wayne State University,painter,
92,Humbert Howard,male,1905-07-12T00:00:00Z,1990-02-10T00:00:00Z,Philadelphia,Philadelphia,"Philadelphia, Chicago, Washington, D.C.","University of Pennsylvania, Barnes Foundation, Howard University, West Philadelphia High School","ceramicist, art director, painter, mail carrier, curator","United States Postal Service, Works Progress Administration"
93,Inez Nathaniel Walker,female,1911-01-01T00:00:00Z,1990-01-01T00:00:00Z,Sumter County,Willard,"Philadelphia, Westchester County, Sumter, Geneva, Port Byron, Clyde, Savannah, Willard",,"farmer, artist",
94,Irene Williams,female,1920-01-01T00:00:00Z,2015-01-01T00:00:00Z,Wilcox County,,,,artist,
95,Jacob Lawrence,male,1917-09-07T00:00:00Z,2000-06-09T00:00:00Z,Atlantic City,Seattle,,Pratt Institute,"painter, draftsperson","University of Washington, Black Mountain College"
96,James Brantley,male,1945-01-01T00:00:00Z,,Philadelphia,,"Nicetown-Tioga, Philadelphia","The University of the Arts, Pennsylvania Academy of the Fine Arts, Simon Gratz High School, University of Pennsylvania",artist,United States Army
97,James Dupree,male,1950-01-01T00:00:00Z,,Pittsburgh,,,"Columbus College of Art and Design, University of Pennsylvania School of Design",artist,
98,James Lesesne Wells,male,1902-01-01T00:00:00Z,1993-01-20T00:00:00Z,Atlanta,,,Columbia University,"teacher, painter, graphic artist, printmaker",
99,James Van Der Zee,male,1886-06-29T00:00:00Z,1983-05-15T00:00:00Z,Lenox,"Washington, D.C.",,,photographer,
100,Jayson Musson,male,1977-01-01T00:00:00Z,,The Bronx,,Brooklyn,"University of Pennsylvania, The University of the Arts, Skowhegan School of Painting and Sculpture",artist,
101,Jeanne Moutoussamy-Ashe,female,1951-01-01T00:00:00Z,,Chicago,,"New York City, Chicago","Cooper Union, Art Institute of Chicago","photographer, artist","WNYW, WNBC, Dalton School, PM Magazine"
102,Jerry Pinkney,male,1939-12-22T00:00:00Z,,Philadelphia,,"New York City, Boston, Philadelphia",The University of the Arts,illustrator,
103,Jimmy Lee Sudduth,male,1910-03-10T00:00:00Z,2007-09-02T00:00:00Z,Fayette,Fayette,,,"musician, painter",
104,Joanna Pettway,female,1924-01-01T00:00:00Z,1993-01-01T00:00:00Z,,,Boykin,,"artist, quilter",
105,John Bunion Murray,male,1908-01-01T00:00:00Z,1988-01-01T00:00:00Z,Glascock County,Sandersville,,,artist,
106,John Bunion Murray,male,1908-01-01T00:00:00Z,1988-09-18T00:00:00Z,Glascock County,Sandersville,,,artist,
107,John E. Dowell Jr.,male,1941-03-25T00:00:00Z,,Philadelphia,,"Los Angeles, Philadelphia, Seattle","University of Washington, Temple University, Tamarind Lithography Workshop","artist, painter, assistant professor, photographer, Professor Emeritus","University of Illinois at Urbana–Champaign, Indiana State University, Temple University"
108,John Edmonds,male,1989-01-01T00:00:00Z,,,,Brooklyn,"Yale University, Corcoran College of Art and Design",photographer,
109,John T. Biggers,male,1924-04-13T00:00:00Z,2001-01-25T00:00:00Z,North Carolina,,Houston,"Pennsylvania State University, Hampton University","illustrator, painter",
110,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-22T00:00:00Z,Roxbury,Brookline,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","drawer, lithographer, painter, sculptor, graphic artist, muralist, visual artist, printmaker",
111,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2014-01-01T00:00:00Z,Roxbury,Boston,Boston,"Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston","lithographer, drawer, painter, sculptor, graphic artist, muralist, visual artist, printmaker",
112,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-01T00:00:00Z,Roxbury,Boston,Boston,"Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
113,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-22T00:00:00Z,Roxbury,Boston,Boston,"Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
114,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2014-01-01T00:00:00Z,Roxbury,Brookline,Boston,"Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston","lithographer, painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer",
115,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-01T00:00:00Z,Roxbury,Brookline,Boston,"Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
116,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2014-01-01T00:00:00Z,Boston,Brookline,Boston,"Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston, Roxbury Memorial High School","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
117,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-01T00:00:00Z,Boston,Brookline,Boston,"Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston, Roxbury Memorial High School","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
118,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-22T00:00:00Z,Boston,Brookline,Boston,"Tufts University, University of Illinois at Urbana–Champaign, School of the Museum of Fine Arts, Boston, Roxbury Memorial High School","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
119,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2014-01-01T00:00:00Z,Boston,Boston,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
120,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-01T00:00:00Z,Boston,Boston,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
121,John Woodrow Wilson,male,1922-01-01T00:00:00Z,2015-01-22T00:00:00Z,Boston,Boston,Boston,"School of the Museum of Fine Arts, Boston, Roxbury Memorial High School, Tufts University, University of Illinois at Urbana–Champaign","painter, sculptor, graphic artist, muralist, visual artist, printmaker, drawer, lithographer",
122,Jonathan Lyndon Chase,male,1989-01-01T00:00:00Z,,,,"Philadelphia, Cheltenham Township","The University of the Arts, Pennsylvania Academy of the Fine Arts","artist, visual artist",
123,Joseph Norman,male,1957-01-01T00:00:00Z,,Chicago,,"Chicago, Hull","University of Cincinnati, University of Illinois at Urbana–Champaign, University of Arkansas at Pine Bluff","artist, university teacher",University of Georgia
124,Joseph Yoakum,male,1889-02-22T00:00:00Z,1972-12-25T00:00:00Z,Ash Grove,Rock Island,,,"drawer, circus performer",
125,Joshua Johnson,male,1765-01-01T00:00:00Z,1830-01-01T00:00:00Z,Baltimore,,,,painter,
126,Joyce J. Scott,female,1948-01-01T00:00:00Z,,Baltimore,,,"Rochester Institute of Technology, Maryland Institute College of Art","artist, jewelry designer",
127,Juan Logan,male,1946-08-16T00:00:00Z,,Nashville,,Belmont,"Howard University, Clark Atlanta University, Maryland Institute College of Art","artist, university teacher",University of North Carolina at Chapel Hill
128,Julian Abele,male,1881-04-30T00:00:00Z,1950-04-18T00:00:00Z,Philadelphia,Philadelphia,"Paris, Philadelphia","Pennsylvania Academy of the Fine Arts, Cheyney University of Pennsylvania, University of Pennsylvania School of Design, Philadelphia College of Art, Institute for Colored Youth",architect,Horace Trumbauer
129,Julian Abele,male,1881-04-30T00:00:00Z,1950-04-23T00:00:00Z,Philadelphia,Philadelphia,"Paris, Philadelphia","Pennsylvania Academy of the Fine Arts, Cheyney University of Pennsylvania, University of Pennsylvania School of Design, Philadelphia College of Art, Institute for Colored Youth",architect,Horace Trumbauer
130,Kara Walker,female,1969-11-26T00:00:00Z,,Stockton,,,"Rhode Island School of Design, Atlanta College of Art","photographer, artist, illustrator, painter, sculptor, graphic artist, visual artist, performance artist, drawer, installation artist, video artist",Columbia University
131,Keith Anthony Morrison,male,1942-01-01T00:00:00Z,,Linstead,,,School of the Art Institute of Chicago,"artist, curator, university teacher, art critic","Fisk University, University of Chicago, University of Michigan, University of Maryland, DePaul University, Maryland Institute College of Art"
132,Kerry James Marshall,male,1955-10-17T00:00:00Z,,Birmingham,,Chicago,Otis College of Art and Design,"painter, drawer",University of Illinois at Chicago
133,Kevan Hall,male,1957-10-11T00:00:00Z,,Detroit,,California,"Cass Technical High School, Fashion Institute of Design & Merchandising",fashion designer,
134,LaToya Ruby Frazier,female,1982-01-01T00:00:00Z,,Braddock,,"New York City, Chicago, New Brunswick","Syracuse University, Edinboro University of Pennsylvania","photographer, curator, educator, performance artist, installation artist, video artist, book artist","Yale University, Rutgers University, Syracuse University, School of the Art Institute of Chicago, Braddock Carnegie Library"
135,Larry Walker,male,1935-01-01T00:00:00Z,,Franklin,,"Atlanta, Harlem",Wayne State University,artist,
136,Lisa Corinne Davis,female,1958-01-01T00:00:00Z,,Baltimore,,"Brooklyn, Hudson","Pratt Institute, Hunter College",artist,Hunter College
137,Lonnie Graham,male,1954-01-01T00:00:00Z,,,,,"San Francisco Art Institute, NSCAD University","photographer, visual artist",
138,Lonnie Holley,male,1950-02-10T00:00:00Z,,Birmingham,,,,"musician, painter, sculptor, performance artist, drawer, assemblage artist, photographer",
139,Loretta Pettway,female,1942-01-01T00:00:00Z,,Boykin,,Boykin,,"artist, quilter",
140,Lorna Simpson,female,1960-08-13T00:00:00Z,,Brooklyn,,,"University of California, San Diego, School of Visual Arts, High School of Art and Design","photographer, printmaker, drawer, video artist, collagist",
141,Louis B. Sloan,male,1932-01-01T00:00:00Z,2008-10-15T00:00:00Z,Philadelphia,,Philadelphia,Pennsylvania Academy of the Fine Arts,"conservator, artist, university teacher","Philadelphia Museum of Art, Pennsylvania Academy of the Fine Arts"
142,Louis Delsarte,male,1944-09-01T00:00:00Z,2020-05-02T00:00:00Z,Brooklyn,Atlanta,,"University of Arizona, Pratt Institute","professor, artist, painter",Morehouse College
143,Louis Draper,male,1935-01-01T00:00:00Z,2002-01-01T00:00:00Z,,,"Richmond, Harlem",Virginia State University,photographer,
144,Louisiana Bendolph,female,1960-10-20T00:00:00Z,,Boykin,,"Mobile, Boykin",,"artist, printmaker, quilter",
145,Lucinda Toomer,female,1888-02-05T00:00:00Z,1983-01-01T00:00:00Z,Sumter County,,,,artist,
146,Magalene Wilson,female,1898-01-01T00:00:00Z,2001-01-01T00:00:00Z,,,Boykin,,artist,
147,Margo Humphrey,female,1942-06-25T00:00:00Z,,Oakland,,,"Stanford University, California College of the Arts","artist, educator, sculptor, university teacher, children's writer, printmaker, drawer, installation artist","Makerere University, University of Maryland, University of California, Santa Cruz, University of Benin, Tamarind Institute"
148,Marie Hensley,female,1870-01-01T00:00:00Z,1932-01-01T00:00:00Z,,,North Carolina,,"artist, seamstress, domestic worker",
149,Mark Bradford,male,1961-11-20T00:00:00Z,,Los Angeles,,Los Angeles,California Institute of the Arts,"artist, painter, sculptor, printmaker, drawer, installation artist, video artist, conceptual artist, photographer",
150,Martha Jane Pettway,female,1898-01-01T00:00:00Z,2003-01-01T00:00:00Z,,,Boykin,,"artist, quilter",
151,Martin Puryear,male,1941-05-23T00:00:00Z,,"Washington, D.C.",,,"The Catholic University of America, Yale School of Art","artist, illustrator, sculptor",University of Illinois at Urbana–Champaign
152,Martina Johnson-Allen,female,1947-08-04T00:00:00Z,,Philadelphia,,,"Pennsylvania State University, The University of the Arts, Tyler School of Art",artist,
153,Mary Jackson,female,1945-01-01T00:00:00Z,,Mount Pleasant,,Charleston,,"artist, textile artist",
154,Mary Lee Bendolph,female,1935-01-01T00:00:00Z,,Boykin,,Boykin,,"printmaker, quilter",
155,Max Belcher,male,1944-01-01T00:00:00Z,,Philadelphia,,"Liberia, Cambridge","Columbia University, New School, School of Visual Arts",photographer,
156,Mel Edwards,male,1937-05-04T00:00:00Z,,Houston,,,"University of Southern California, Yale University, Los Angeles City College","painter, sculptor, drawer",Rutgers University
157,Mequitta Ahuja,female,1976-01-01T00:00:00Z,,Grand Rapids,,"Baltimore, Weston","University of Illinois at Chicago, Hampshire College","artist, painter, visual artist",
